Latitude               Longitude

41.931616            -87.6488

41.953664            -87.649811

41.932309            -87.668597

41.939478            -87.678191

41.92171              -87.664276

41.879159            -87.64324

41.95405              -87.7127

41.86649              -87.66619

41.959588            -87.743136

41.914309            -87.746152

42.013093            -87.921658

41.873473            -87.71107

41.839304            -87.631875

41.814696            -87.752309

41.936473            -87.707441

42.020699            -87.950781

41.87164              -87.862119

41.846849            -87.65198

42.1461950549   -87.8356922585

41.761285            -87.901694

41.768055            -87.624641

41.776415            -87.630612

41.753313            -87.587455

41.876333            -87.696283

41.685128            -88.065451

41.677039            -87.603495

41.63393              -87.66507

41.622737            -87.682638

41.66792              -87.66194

41.795211            -87.826667

41.6457822567   -87.6599073341

41.610782            -87.579019

41.590171            -87.722805

41.872757            -87.757783

41.96109              -87.741589

42.0660562267   -88.1295045812

41.812889            -87.758041

41.816255            -87.632165

41.696663            -88.04442

41.800468            -88.239588

41.800628            -88.237104

41.87045              -87.866257

41.577203            -87.549856

41.517667            -88.190995

41.905222            -87.974302

41.835785            -88.005477

42.020659            -87.950932

41.60814              -87.68099

41.940116            -87.892706

41.936988            -87.912007

41.659305            -87.66148

41.741547            -87.626583

41.859188            -88.038313

41.51137              -88.08928

41.676298            -87.773045

41.704543            -87.789377

41.579048            -87.61241

42.146184            -87.835688

41.511699            -88.079355

41.690356            -87.601451

41.878277            -87.960953

41.644139            -87.659845

41.578621            -87.55386

41.940108            -87.892889

41.913609            -87.919268

41.679523            -88.205001

41.907623            -88.152429

41.610513            -87.696621

41.751336            -87.867612

41.725872            -87.810668

41.60814              -87.68099

41.668282            -87.757094

41.578772            -87.642102

41.571178            -87.732805

42.00945              -87.86973

41.859188            -88.038324

41.539797            -87.850233

41.539772            -87.850228

41.625725            -87.031385

41.601284            -87.158017

41.612928            -87.08851

41.599535            -87.193218

41.570248            -87.379375

41.569084            -87.365084

41.4454797881   -87.3209453296

41.516197            -87.320216

41.520788            -87.317576

41.550667            -87.152481

41.573619            -87.274066

41.4239729497   -87.3223837124

41.57032              -87.386982

41.567372903     -87.3486359826

41.4704551531   -87.2233329547

41.45721              -87.0581

41.5781960684   -87.2546416434

41.5666059365   -87.4735142059

41.550876            -87.238057

41.45721              -87.0581

41.46199              -87.09677

41.5043677966   -87.5324765321

41.4963586069   -87.5279434478

41.543015            -87.311686

41.559   -87.432

41.492278            -87.115654

41.4714469643   -87.3720045879

41.5991453781   -87.1745472709

41.4715183991   -87.2941607109

41.4714477963   -87.3719645164

41.5665978897   -87.4735061084

41.596026            -87.04549

41.4705098291   -87.3289395771

41.4811                 -87.4272

41.490429            -87.467308

41.5313892771   -87.4708568804

41.491384            -87.488347

41.5096767117   -87.4716679915

41.5180633242   -87.4709255277

41.5313744          -87.4708586881

41.5180477587   -87.470924964

41.471376            -87.470672

41.48619              -87.47051

41.47138              -87.470677
